candidate,county,party,percentage,popular_vote,state,summary_level
 M. Rubio,Cullman County,REPUBLICAN,13.5%,"2,832",alabama,county
 B. Carson,Cullman County,REPUBLICAN,11.0%,"2,301",alabama,county
 J. Kasich,Cullman County,REPUBLICAN,2.7%,558,alabama,county
 Uncommitted,Cullman County,REPUBLICAN,0.8%,167,alabama,county
 J. Bush,Cullman County,REPUBLICAN,0.4%,77,alabama,county
 M. Huckabee,Cullman County,REPUBLICAN,0.3%,65,alabama,county
 R. Paul,Cullman County,REPUBLICAN,0.2%,44,alabama,county
 C. Christie,Cullman County,REPUBLICAN,0.1%,26,alabama,county
 R. Santorum,Cullman County,REPUBLICAN,0.1%,24,alabama,county
 C. Fiorina,Cullman County,REPUBLICAN,0.0%,9,alabama,county
 L. Graham,Cullman County,REPUBLICAN,0.0%,5,alabama,county
 H. Clinton,Dale County,DEMOCRAT,77.0%,"1,544",alabama,county
 B. Sanders,Dale County,DEMOCRAT,20.7%,415,alabama,county
 Uncommitted,Dale County,DEMOCRAT,1.7%,34,alabama,county
 M. O'Malley,Dale County,DEMOCRAT,0.5%,10,alabama,county
 R. De La Fuente,Dale County,DEMOCRAT,0.1%,3,alabama,county
 D. Trump,Dale County,REPUBLICAN,45.3%,"4,151",alabama,county
 T. Cruz,Dale County,REPUBLICAN,21.9%,"2,008",alabama,county
 M. Rubio,Dale County,REPUBLICAN,13.0%,"1,194",alabama,county
 B. Carson,Dale County,REPUBLICAN,12.5%,"1,150",alabama,county
 J. Kasich,Dale County,REPUBLICAN,3.6%,333,alabama,county
 Uncommitted,Dale County,REPUBLICAN,1.8%,161,alabama,county
 J. Bush,Dale County,REPUBLICAN,0.6%,56,alabama,county
 M. Huckabee,Dale County,REPUBLICAN,0.6%,56,alabama,county
 R. Paul,Dale County,REPUBLICAN,0.3%,31,alabama,county
 C. Christie,Dale County,REPUBLICAN,0.1%,11,alabama,county
 C. Fiorina,Dale County,REPUBLICAN,0.1%,9,alabama,county
 R. Santorum,Dale County,REPUBLICAN,0.1%,6,alabama,county
 L. Graham,Dale County,REPUBLICAN,0.0%,3,alabama,county
 H. Clinton,Dallas County,DEMOCRAT,74.4%,"8,577",alabama,county
 B. Sanders,Dallas County,DEMOCRAT,15.4%,"1,774",alabama,county
 Uncommitted,Dallas County,DEMOCRAT,8.1%,935,alabama,county
 M. O'Malley,Dallas County,DEMOCRAT,1.5%,168,alabama,county
 R. De La Fuente,Dallas County,DEMOCRAT,0.7%,75,alabama,county
 D. Trump,Dallas County,REPUBLICAN,59.7%,523,alabama,county
 T. Cruz,Dallas County,REPUBLICAN,20.7%,181,alabama,county
 M. Rubio,Dallas County,REPUBLICAN,8.7%,76,alabama,county
 B. Carson,Dallas County,REPUBLICAN,5.3%,46,alabama,county
 J. Kasich,Dallas County,REPUBLICAN,2.6%,23,alabama,county
 Uncommitted,Dallas County,REPUBLICAN,1.5%,13,alabama,county
 J. Bush,Dallas County,REPUBLICAN,0.9%,8,alabama,county
 M. Huckabee,Dallas County,REPUBLICAN,0.6%,5,alabama,county
 R. Santorum,Dallas County,REPUBLICAN,0.1%,1,alabama,county
 C. Christie,Dallas County,REPUBLICAN,0.0%,0,alabama,county
 C. Fiorina,Dallas County,REPUBLICAN,0.0%,0,alabama,county
 L. Graham,Dallas County,REPUBLICAN,0.0%,0,alabama,county
 R. Paul,Dallas County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,DeKalb County,DEMOCRAT,62.9%,"1,297",alabama,county
 B. Sanders,DeKalb County,DEMOCRAT,32.3%,667,alabama,county
 Uncommitted,DeKalb County,DEMOCRAT,3.4%,71,alabama,county
 M. O'Malley,DeKalb County,DEMOCRAT,1.0%,21,alabama,county
 R. De La Fuente,DeKalb County,DEMOCRAT,0.3%,7,alabama,county
 D. Trump,DeKalb County,REPUBLICAN,47.6%,"6,247",alabama,county
 M. Rubio,DeKalb County,REPUBLICAN,21.6%,"2,837",alabama,county
 T. Cruz,DeKalb County,REPUBLICAN,16.4%,"2,153",alabama,county
 B. Carson,DeKalb County,REPUBLICAN,9.8%,"1,285",alabama,county
 J. Kasich,DeKalb County,REPUBLICAN,2.5%,325,alabama,county
 Uncommitted,DeKalb County,REPUBLICAN,1.0%,133,alabama,county
 J. Bush,DeKalb County,REPUBLICAN,0.4%,51,alabama,county
 M. Huckabee,DeKalb County,REPUBLICAN,0.4%,51,alabama,county
 R. Paul,DeKalb County,REPUBLICAN,0.2%,28,alabama,county
 C. Christie,DeKalb County,REPUBLICAN,0.1%,8,alabama,county
 C. Fiorina,DeKalb County,REPUBLICAN,0.0%,5,alabama,county
 L. Graham,DeKalb County,REPUBLICAN,0.0%,5,alabama,county
 R. Santorum,DeKalb County,REPUBLICAN,0.0%,3,alabama,county
 H. Clinton,Elmore County,DEMOCRAT,80.1%,"3,019",alabama,county
 B. Sanders,Elmore County,DEMOCRAT,18.4%,694,alabama,county
 Uncommitted,Elmore County,DEMOCRAT,1.1%,42,alabama,county
 M. O'Malley,Elmore County,DEMOCRAT,0.2%,9,alabama,county
 R. De La Fuente,Elmore County,DEMOCRAT,0.1%,5,alabama,county
 D. Trump,Elmore County,REPUBLICAN,47.8%,"8,525",alabama,county
 T. Cruz,Elmore County,REPUBLICAN,18.2%,"3,236",alabama,county
 B. Carson,Elmore County,REPUBLICAN,14.8%,"2,630",alabama,county
 M. Rubio,Elmore County,REPUBLICAN,13.4%,"2,387",alabama,county
 J. Kasich,Elmore County,REPUBLICAN,3.6%,634,alabama,county
 Uncommitted,Elmore County,REPUBLICAN,0.9%,167,alabama,county
 J. Bush,Elmore County,REPUBLICAN,0.5%,95,alabama,county
 M. Huckabee,Elmore County,REPUBLICAN,0.3%,50,alabama,county
 R. Paul,Elmore County,REPUBLICAN,0.3%,50,alabama,county
 C. Christie,Elmore County,REPUBLICAN,0.1%,16,alabama,county
 R. Santorum,Elmore County,REPUBLICAN,0.1%,15,alabama,county
 C. Fiorina,Elmore County,REPUBLICAN,0.0%,6,alabama,county
 L. Graham,Elmore County,REPUBLICAN,0.0%,6,alabama,county
 H. Clinton,Escambia County,DEMOCRAT,88.5%,"2,027",alabama,county
 B. Sanders,Escambia County,DEMOCRAT,9.9%,226,alabama,county
 Uncommitted,Escambia County,DEMOCRAT,1.5%,34,alabama,county
 R. De La Fuente,Escambia County,DEMOCRAT,0.2%,4,alabama,county
 M. O'Malley,Escambia County,DEMOCRAT,0.0%,0,alabama,county
 D. Trump,Escambia County,REPUBLICAN,49.3%,"2,817",alabama,county
 M. Rubio,Escambia County,REPUBLICAN,18.0%,"1,028",alabama,county
 T. Cruz,Escambia County,REPUBLICAN,17.1%,978,alabama,county
 B. Carson,Escambia County,REPUBLICAN,10.2%,585,alabama,county
 J. Kasich,Escambia County,REPUBLICAN,3.4%,194,alabama,county
 Uncommitted,Escambia County,REPUBLICAN,0.6%,32,alabama,county
 J. Bush,Escambia County,REPUBLICAN,0.5%,28,alabama,county
 M. Huckabee,Escambia County,REPUBLICAN,0.4%,21,alabama,county
 R. Paul,Escambia County,REPUBLICAN,0.2%,13,alabama,county
 C. Christie,Escambia County,REPUBLICAN,0.1%,7,alabama,county
 C. Fiorina,Escambia County,REPUBLICAN,0.1%,3,alabama,county
 R. Santorum,Escambia County,REPUBLICAN,0.1%,3,alabama,county
 L. Graham,Escambia County,REPUBLICAN,0.0%,1,alabama,county
 H. Clinton,Etowah County,DEMOCRAT,74.6%,"4,262",alabama,county
 B. Sanders,Etowah County,DEMOCRAT,22.6%,"1,289",alabama,county
 Uncommitted,Etowah County,DEMOCRAT,2.3%,133,alabama,county
 M. O'Malley,Etowah County,DEMOCRAT,0.4%,24,alabama,county
 R. De La Fuente,Etowah County,DEMOCRAT,0.1%,7,alabama,county
 D. Trump,Etowah County,REPUBLICAN,46.1%,"8,657",alabama,county
 T. Cruz,Etowah County,REPUBLICAN,20.7%,"3,891",alabama,county
 M. Rubio,Etowah County,REPUBLICAN,16.8%,"3,155",alabama,county
 B. Carson,Etowah County,REPUBLICAN,11.2%,"2,098",alabama,county
 J. Kasich,Etowah County,REPUBLICAN,3.3%,616,alabama,county
 Uncommitted,Etowah County,REPUBLICAN,0.7%,139,alabama,county
 J. Bush,Etowah County,REPUBLICAN,0.4%,77,alabama,county
 M. Huckabee,Etowah County,REPUBLICAN,0.3%,52,alabama,county
 R. Paul,Etowah County,REPUBLICAN,0.2%,36,alabama,county
 R. Santorum,Etowah County,REPUBLICAN,0.1%,21,alabama,county
 C. Christie,Etowah County,REPUBLICAN,0.1%,20,alabama,county
 C. Fiorina,Etowah County,REPUBLICAN,0.0%,9,alabama,county
 L. Graham,Etowah County,REPUBLICAN,0.0%,6,alabama,county
 H. Clinton,Fayette County,DEMOCRAT,76.7%,660,alabama,county
 B. Sanders,Fayette County,DEMOCRAT,17.2%,148,alabama,county
 Uncommitted,Fayette County,DEMOCRAT,4.8%,41,alabama,county
 M. O'Malley,Fayette County,DEMOCRAT,0.8%,7,alabama,county
 R. De La Fuente,Fayette County,DEMOCRAT,0.5%,4,alabama,county
 D. Trump,Fayette County,REPUBLICAN,49.9%,"2,479",alabama,county
 T. Cruz,Fayette County,REPUBLICAN,21.0%,"1,043",alabama,county
 M. Rubio,Fayette County,REPUBLICAN,13.3%,663,alabama,county
 B. Carson,Fayette County,REPUBLICAN,9.8%,488,alabama,county
 J. Kasich,Fayette County,REPUBLICAN,2.5%,124,alabama,county
 Uncommitted,Fayette County,REPUBLICAN,1.8%,88,alabama,county
 M. Huckabee,Fayette County,REPUBLICAN,0.9%,44,alabama,county
 J. Bush,Fayette County,REPUBLICAN,0.5%,25,alabama,county
 R. Paul,Fayette County,REPUBLICAN,0.2%,8,alabama,county
 C. Christie,Fayette County,REPUBLICAN,0.1%,5,alabama,county
 R. Santorum,Fayette County,REPUBLICAN,0.1%,3,alabama,county
 C. Fiorina,Fayette County,REPUBLICAN,0.0%,2,alabama,county
 L. Graham,Fayette County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Franklin County,DEMOCRAT,48.4%,"1,233",alabama,county
 B. Sanders,Franklin County,DEMOCRAT,30.1%,767,alabama,county
 Uncommitted,Franklin County,DEMOCRAT,19.1%,486,alabama,county
 M. O'Malley,Franklin County,DEMOCRAT,1.7%,43,alabama,county
 R. De La Fuente,Franklin County,DEMOCRAT,0.7%,17,alabama,county
 D. Trump,Franklin County,REPUBLICAN,51.5%,"2,155",alabama,county
 T. Cruz,Franklin County,REPUBLICAN,21.3%,892,alabama,county
 M. Rubio,Franklin County,REPUBLICAN,13.4%,562,alabama,county
 B. Carson,Franklin County,REPUBLICAN,9.3%,388,alabama,county
 J. Kasich,Franklin County,REPUBLICAN,2.6%,107,alabama,county
 Uncommitted,Franklin County,REPUBLICAN,0.7%,30,alabama,county
 M. Huckabee,Franklin County,REPUBLICAN,0.5%,20,alabama,county
 J. Bush,Franklin County,REPUBLICAN,0.3%,14,alabama,county
 R. Paul,Franklin County,REPUBLICAN,0.2%,8,alabama,county
 C. Christie,Franklin County,REPUBLICAN,0.1%,6,alabama,county
 R. Santorum,Franklin County,REPUBLICAN,0.1%,4,alabama,county
 C. Fiorina,Franklin County,REPUBLICAN,0.0%,2,alabama,county
 L. Graham,Franklin County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Geneva County,DEMOCRAT,74.9%,544,alabama,county
 B. Sanders,Geneva County,DEMOCRAT,21.6%,157,alabama,county
 Uncommitted,Geneva County,DEMOCRAT,2.2%,16,alabama,county
 M. O'Malley,Geneva County,DEMOCRAT,1.1%,8,alabama,county
 R. De La Fuente,Geneva County,DEMOCRAT,0.1%,1,alabama,county
 D. Trump,Geneva County,REPUBLICAN,48.6%,"3,106",alabama,county
 T. Cruz,Geneva County,REPUBLICAN,23.7%,"1,517",alabama,county
 M. Rubio,Geneva County,REPUBLICAN,13.0%,829,alabama,county
 B. Carson,Geneva County,REPUBLICAN,9.3%,592,alabama,county
 J. Kasich,Geneva County,REPUBLICAN,2.3%,146,alabama,county
 Uncommitted,Geneva County,REPUBLICAN,1.3%,83,alabama,county
 J. Bush,Geneva County,REPUBLICAN,0.7%,42,alabama,county
 M. Huckabee,Geneva County,REPUBLICAN,0.5%,35,alabama,county
 R. Paul,Geneva County,REPUBLICAN,0.2%,15,alabama,county
 C. Christie,Geneva County,REPUBLICAN,0.1%,9,alabama,county
 R. Santorum,Geneva County,REPUBLICAN,0.1%,7,alabama,county
 C. Fiorina,Geneva County,REPUBLICAN,0.1%,5,alabama,county
 L. Graham,Geneva County,REPUBLICAN,0.0%,2,alabama,county
 H. Clinton,Greene County,DEMOCRAT,90.1%,"2,714",alabama,county
 B. Sanders,Greene County,DEMOCRAT,7.1%,213,alabama,county
 Uncommitted,Greene County,DEMOCRAT,1.9%,58,alabama,county
 M. O'Malley,Greene County,DEMOCRAT,0.5%,14,alabama,county
 R. De La Fuente,Greene County,DEMOCRAT,0.4%,12,alabama,county
 D. Trump,Greene County,REPUBLICAN,53.8%,147,alabama,county
 T. Cruz,Greene County,REPUBLICAN,21.6%,59,alabama,county
 M. Rubio,Greene County,REPUBLICAN,12.1%,33,alabama,county
 B. Carson,Greene County,REPUBLICAN,7.0%,19,alabama,county
 J. Kasich,Greene County,REPUBLICAN,3.7%,10,alabama,county
 J. Bush,Greene County,REPUBLICAN,0.7%,2,alabama,county
 C. Christie,Greene County,REPUBLICAN,0.4%,1,alabama,county
 M. Huckabee,Greene County,REPUBLICAN,0.4%,1,alabama,county
 R. Santorum,Greene County,REPUBLICAN,0.4%,1,alabama,county
 C. Fiorina,Greene County,REPUBLICAN,0.0%,0,alabama,county
 L. Graham,Greene County,REPUBLICAN,0.0%,0,alabama,county
 R. Paul,Greene County,REPUBLICAN,0.0%,0,alabama,county
 Uncommitted,Greene County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Hale County,DEMOCRAT,79.6%,"2,426",alabama,county
 B. Sanders,Hale County,DEMOCRAT,14.0%,427,alabama,county
 Uncommitted,Hale County,DEMOCRAT,5.8%,176,alabama,county
 R. De La Fuente,Hale County,DEMOCRAT,0.3%,9,alabama,county
 M. O'Malley,Hale County,DEMOCRAT,0.3%,8,alabama,county
 D. Trump,Hale County,REPUBLICAN,52.1%,590,alabama,county
 T. Cruz,Hale County,REPUBLICAN,25.0%,283,alabama,county
 M. Rubio,Hale County,REPUBLICAN,11.7%,132,alabama,county
 B. Carson,Hale County,REPUBLICAN,7.8%,88,alabama,county
 J. Kasich,Hale County,REPUBLICAN,2.1%,24,alabama,county
 Uncommitted,Hale County,REPUBLICAN,0.5%,6,alabama,county
 M. Huckabee,Hale County,REPUBLICAN,0.3%,3,alabama,county
 J. Bush,Hale County,REPUBLICAN,0.2%,2,alabama,county
 C. Christie,Hale County,REPUBLICAN,0.2%,2,alabama,county
 C. Fiorina,Hale County,REPUBLICAN,0.1%,1,alabama,county
 L. Graham,Hale County,REPUBLICAN,0.1%,1,alabama,county
 R. Paul,Hale County,REPUBLICAN,0.0%,0,alabama,county
 R. Santorum,Hale County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Henry County,DEMOCRAT,85.6%,"1,170",alabama,county
 B. Sanders,Henry County,DEMOCRAT,11.9%,163,alabama,county
 Uncommitted,Henry County,DEMOCRAT,1.9%,26,alabama,county
 M. O'Malley,Henry County,DEMOCRAT,0.4%,5,alabama,county
 R. De La Fuente,Henry County,DEMOCRAT,0.2%,3,alabama,county
 D. Trump,Henry County,REPUBLICAN,46.8%,"1,778",alabama,county
 T. Cruz,Henry County,REPUBLICAN,22.3%,847,alabama,county
 M. Rubio,Henry County,REPUBLICAN,14.3%,545,alabama,county
 B. Carson,Henry County,REPUBLICAN,11.5%,436,alabama,county
 J. Kasich,Henry County,REPUBLICAN,2.8%,107,alabama,county
 Uncommitted,Henry County,REPUBLICAN,1.1%,40,alabama,county
 J. Bush,Henry County,REPUBLICAN,0.6%,21,alabama,county
 M. Huckabee,Henry County,REPUBLICAN,0.3%,11,alabama,county
 C. Christie,Henry County,REPUBLICAN,0.2%,6,alabama,county
 R. Paul,Henry County,REPUBLICAN,0.1%,4,alabama,county
 C. Fiorina,Henry County,REPUBLICAN,0.1%,3,alabama,county
 R. Santorum,Henry County,REPUBLICAN,0.1%,3,alabama,county
 L. Graham,Henry County,REPUBLICAN,0.0%,1,alabama,county
 H. Clinton,Houston County,DEMOCRAT,78.3%,"3,044",alabama,county
 B. Sanders,Houston County,DEMOCRAT,20.1%,780,alabama,county
 Uncommitted,Houston County,DEMOCRAT,1.4%,54,alabama,county
 M. O'Malley,Houston County,DEMOCRAT,0.2%,6,alabama,county
 R. De La Fuente,Houston County,DEMOCRAT,0.1%,3,alabama,county
 D. Trump,Houston County,REPUBLICAN,40.4%,"8,171",alabama,county
 T. Cruz,Houston County,REPUBLICAN,22.5%,"4,558",alabama,county
 M. Rubio,Houston County,REPUBLICAN,18.2%,"3,683",alabama,county
 B. Carson,Houston County,REPUBLICAN,11.4%,"2,310",alabama,county
 J. Kasich,Houston County,REPUBLICAN,4.1%,836,alabama,county
 Uncommitted,Houston County,REPUBLICAN,1.7%,335,alabama,county
 J. Bush,Houston County,REPUBLICAN,0.7%,138,alabama,county
 M. Huckabee,Houston County,REPUBLICAN,0.4%,89,alabama,county
 R. Paul,Houston County,REPUBLICAN,0.2%,39,alabama,county
 C. Christie,Houston County,REPUBLICAN,0.2%,31,alabama,county
 C. Fiorina,Houston County,REPUBLICAN,0.1%,16,alabama,county
 R. Santorum,Houston County,REPUBLICAN,0.1%,12,alabama,county
 L. Graham,Houston County,REPUBLICAN,0.0%,7,alabama,county
 H. Clinton,Jackson County,DEMOCRAT,70.0%,"1,327",alabama,county
 B. Sanders,Jackson County,DEMOCRAT,26.9%,510,alabama,county
 Uncommitted,Jackson County,DEMOCRAT,2.5%,47,alabama,county
 M. O'Malley,Jackson County,DEMOCRAT,0.5%,9,alabama,county
 R. De La Fuente,Jackson County,DEMOCRAT,0.2%,4,alabama,county
 D. Trump,Jackson County,REPUBLICAN,49.9%,"5,463",alabama,county
 M. Rubio,Jackson County,REPUBLICAN,16.9%,"1,847",alabama,county
 T. Cruz,Jackson County,REPUBLICAN,16.4%,"1,791",alabama,county
 B. Carson,Jackson County,REPUBLICAN,10.8%,"1,185",alabama,county
 J. Kasich,Jackson County,REPUBLICAN,2.8%,310,alabama,county
 Uncommitted,Jackson County,REPUBLICAN,2.0%,219,alabama,county
 M. Huckabee,Jackson County,REPUBLICAN,0.4%,48,alabama,county
 J. Bush,Jackson County,REPUBLICAN,0.4%,40,alabama,county
 C. Christie,Jackson County,REPUBLICAN,0.1%,14,alabama,county
 R. Paul,Jackson County,REPUBLICAN,0.1%,14,alabama,county
 R. Santorum,Jackson County,REPUBLICAN,0.1%,12,alabama,county
 C. Fiorina,Jackson County,REPUBLICAN,0.0%,4,alabama,county
 L. Graham,Jackson County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Jefferson County,DEMOCRAT,81.6%,"67,357",alabama,county
 B. Sanders,Jefferson County,DEMOCRAT,17.4%,"14,319",alabama,county
 Uncommitted,Jefferson County,DEMOCRAT,0.8%,638,alabama,county
 M. O'Malley,Jefferson County,DEMOCRAT,0.1%,121,alabama,county
 R. De La Fuente,Jefferson County,DEMOCRAT,0.1%,61,alabama,county
 D. Trump,Jefferson County,REPUBLICAN,35.0%,"32,853",alabama,county
 M. Rubio,Jefferson County,REPUBLICAN,24.7%,"23,132",alabama,county
 T. Cruz,Jefferson County,REPUBLICAN,23.8%,"22,355",alabama,county
 B. Carson,Jefferson County,REPUBLICAN,8.9%,"8,368",alabama,county
 J. Kasich,Jefferson County,REPUBLICAN,6.1%,"5,711",alabama,county
 Uncommitted,Jefferson County,REPUBLICAN,0.5%,514,alabama,county
 J. Bush,Jefferson County,REPUBLICAN,0.4%,334,alabama,county
 R. Paul,Jefferson County,REPUBLICAN,0.2%,199,alabama,county
 M. Huckabee,Jefferson County,REPUBLICAN,0.2%,162,alabama,county
 C. Christie,Jefferson County,REPUBLICAN,0.1%,72,alabama,county
 C. Fiorina,Jefferson County,REPUBLICAN,0.1%,56,alabama,county
 R. Santorum,Jefferson County,REPUBLICAN,0.0%,36,alabama,county
 L. Graham,Jefferson County,REPUBLICAN,0.0%,18,alabama,county
 H. Clinton,Lamar County,DEMOCRAT,61.6%,442,alabama,county
 B. Sanders,Lamar County,DEMOCRAT,24.1%,173,alabama,county
 Uncommitted,Lamar County,DEMOCRAT,12.1%,87,alabama,county
 M. O'Malley,Lamar County,DEMOCRAT,1.5%,11,alabama,county
 R. De La Fuente,Lamar County,DEMOCRAT,0.6%,4,alabama,county
 D. Trump,Lamar County,REPUBLICAN,50.4%,"1,810",alabama,county
 T. Cruz,Lamar County,REPUBLICAN,19.3%,692,alabama,county
 M. Rubio,Lamar County,REPUBLICAN,13.0%,466,alabama,county
 B. Carson,Lamar County,REPUBLICAN,9.6%,344,alabama,county
 J. Kasich,Lamar County,REPUBLICAN,2.9%,103,alabama,county
 Uncommitted,Lamar County,REPUBLICAN,2.3%,81,alabama,county
 M. Huckabee,Lamar County,REPUBLICAN,1.0%,37,alabama,county
 J. Bush,Lamar County,REPUBLICAN,0.8%,28,alabama,county
 R. Paul,Lamar County,REPUBLICAN,0.3%,12,alabama,county
 C. Christie,Lamar County,REPUBLICAN,0.3%,9,alabama,county
 L. Graham,Lamar County,REPUBLICAN,0.1%,4,alabama,county
 R. Santorum,Lamar County,REPUBLICAN,0.1%,3,alabama,county
 C. Fiorina,Lamar County,REPUBLICAN,0.1%,2,alabama,county
 H. Clinton,Lauderdale County,DEMOCRAT,65.2%,"3,676",alabama,county
 B. Sanders,Lauderdale County,DEMOCRAT,30.9%,"1,745",alabama,county
 Uncommitted,Lauderdale County,DEMOCRAT,3.3%,188,alabama,county
 M. O'Malley,Lauderdale County,DEMOCRAT,0.4%,22,alabama,county
 R. De La Fuente,Lauderdale County,DEMOCRAT,0.2%,11,alabama,county
 D. Trump,Lauderdale County,REPUBLICAN,42.1%,"7,502",alabama,county
 M. Rubio,Lauderdale County,REPUBLICAN,18.7%,"3,320",alabama,county
 T. Cruz,Lauderdale County,REPUBLICAN,18.3%,"3,265",alabama,county
 B. Carson,Lauderdale County,REPUBLICAN,12.1%,"2,151",alabama,county
 J. Kasich,Lauderdale County,REPUBLICAN,5.5%,983,alabama,county
 Uncommitted,Lauderdale County,REPUBLICAN,1.7%,296,alabama,county
 M. Huckabee,Lauderdale County,REPUBLICAN,0.5%,95,alabama,county
 J. Bush,Lauderdale County,REPUBLICAN,0.4%,64,alabama,county
 R. Paul,Lauderdale County,REPUBLICAN,0.3%,58,alabama,county
 R. Santorum,Lauderdale County,REPUBLICAN,0.2%,28,alabama,county
 C. Christie,Lauderdale County,REPUBLICAN,0.1%,24,alabama,county
 C. Fiorina,Lauderdale County,REPUBLICAN,0.1%,11,alabama,county
 L. Graham,Lauderdale County,REPUBLICAN,0.0%,3,alabama,county
 H. Clinton,Lawrence County,DEMOCRAT,77.7%,"2,047",alabama,county
 B. Sanders,Lawrence County,DEMOCRAT,16.2%,428,alabama,county
 Uncommitted,Lawrence County,DEMOCRAT,4.7%,123,alabama,county
 M. O'Malley,Lawrence County,DEMOCRAT,0.8%,20,alabama,county
 R. De La Fuente,Lawrence County,DEMOCRAT,0.7%,18,alabama,county
 D. Trump,Lawrence County,REPUBLICAN,52.8%,"3,604",alabama,county
 T. Cruz,Lawrence County,REPUBLICAN,17.6%,"1,204",alabama,county
 M. Rubio,Lawrence County,REPUBLICAN,13.5%,925,alabama,county
 B. Carson,Lawrence County,REPUBLICAN,10.7%,733,alabama,county
 J. Kasich,Lawrence County,REPUBLICAN,2.9%,196,alabama,county
 Uncommitted,Lawrence County,REPUBLICAN,0.9%,64,alabama,county
 J. Bush,Lawrence County,REPUBLICAN,0.6%,38,alabama,county
 M. Huckabee,Lawrence County,REPUBLICAN,0.4%,28,alabama,county
 R. Santorum,Lawrence County,REPUBLICAN,0.2%,11,alabama,county
 R. Paul,Lawrence County,REPUBLICAN,0.1%,10,alabama,county
 L. Graham,Lawrence County,REPUBLICAN,0.1%,7,alabama,county
 C. Christie,Lawrence County,REPUBLICAN,0.1%,6,alabama,county
 C. Fiorina,Lawrence County,REPUBLICAN,0.1%,4,alabama,county
 H. Clinton,Lee County,DEMOCRAT,73.6%,"7,137",alabama,county
 B. Sanders,Lee County,DEMOCRAT,25.4%,"2,464",alabama,county
 Uncommitted,Lee County,DEMOCRAT,0.7%,67,alabama,county
 M. O'Malley,Lee County,DEMOCRAT,0.2%,18,alabama,county
 R. De La Fuente,Lee County,DEMOCRAT,0.1%,7,alabama,county
 D. Trump,Lee County,REPUBLICAN,33.0%,"6,934",alabama,county
 T. Cruz,Lee County,REPUBLICAN,23.2%,"4,880",alabama,county
 M. Rubio,Lee County,REPUBLICAN,22.5%,"4,734",alabama,county
 B. Carson,Lee County,REPUBLICAN,11.7%,"2,460",alabama,county
 J. Kasich,Lee County,REPUBLICAN,7.1%,"1,501",alabama,county
 Uncommitted,Lee County,REPUBLICAN,1.0%,207,alabama,county
 J. Bush,Lee County,REPUBLICAN,0.6%,128,alabama,county
 M. Huckabee,Lee County,REPUBLICAN,0.4%,74,alabama,county
 R. Paul,Lee County,REPUBLICAN,0.3%,66,alabama,county
 C. Christie,Lee County,REPUBLICAN,0.1%,19,alabama,county
 C. Fiorina,Lee County,REPUBLICAN,0.1%,14,alabama,county
 R. Santorum,Lee County,REPUBLICAN,0.1%,14,alabama,county
 L. Graham,Lee County,REPUBLICAN,0.0%,8,alabama,county
 H. Clinton,Limestone County,DEMOCRAT,72.8%,"3,199",alabama,county
 B. Sanders,Limestone County,DEMOCRAT,25.5%,"1,120",alabama,county
 Uncommitted,Limestone County,DEMOCRAT,1.3%,57,alabama,county
